summary,coherence_score
"Hendra Nipah viruses (family Paramyxoviridae, genus Henipavirus) are bat-borne viruses that cause fatal disease in humans and a range of mammalian species. Gaining deeper understanding of the host pathways exploited by henipaviruses infection will identify targets for new anti-viral therapies. We performed a genome-wide high-throughput agonist antagonist screen at biosafety level 4 to identify host-encoded microRNAs (miRNAs) that are important for infection and infection in human cells. Members of the miR-181 family strongly promoted Hendra virus infection, but did not affect infection with paramyxoviruses and other genera, indicating the specificity of virus-host interaction. Infection promotion was primarily mediated by the ability of miRs-181 to significantly enhance henipovirus-induced membrane fusion. Cell signalling receptors for ephrins, EphA5 and EphB4, were identified as novel negative regulators of henipvirus fusion, suggesting that simultaneous inhibition of Ephs and miRNA contributes to enhanced infection and fusion. Immune-responsive miRNA levels were also regulated in biofluids of ferrets and horses infected with Hendra viruses, suggesting a host innate immune response that may promote henipivirus spread and exacerbate disease severity. Our study provides the first comprehensive screen of miRNAs influencing infection in a clinically significant mononegavirus.",0.5023762583732605
"The Aedes aegypti mosquito locus is a mosquito-vector that is genetically engineered to increase the frequency of the population, spreading associated with desirable genetic traits. In the case of engineered underdominance, introduced transgenes are theoretically capable of persisting indefinitely (i.e. self-sustaining) whilst the killer-rescue system rescue component initially increase frequency (lethal component (killer) is more common) and eventually declining (killer rare) when it is eliminated. The effects of ecological factors on gene drive systems are considered alternative modelling methodologies. We formulate a new set of mathematical models combining population dynamics and population genetics classes of gene drive to incorporate ecological factors previously studied simple to allow the effects to be disentangled. In particular, we focus on potential effects obtained from the result of differing ecological factors such as strengths of larval competition; numbers of breeding sites; relative fitness of transgenic mosquitoes compared to their wild-type counterparts. We extend models to consider population dynamics demes in order to explore the effects of dispersal of neighbouring populations on the outcome of the UD KR gene drive system.",0.5023802518844604
"Exogenous Interleukin-7 (IL-7), a supplement to antiretroviral therapy, leads to a substantial increase in CD4+ T cell subsets in HIV-1 infected patients. However, the quantitative contribution of the potential mechanisms of action of IL-7 is unknown. We performed mathematical analysis of repeated measurements of total naive CD4 + T cells and Ki67 expression in infected patients involved in phase/II studies (N  =  53 patients). We found that IL+7 exerts additional effects on CD4 and T cell dynamics at 52 weeks. A decrease in the loss rate of total CD4/T cell counts is a probable explanation for the effect maintained after repeated administration with IL-8. Our simulation study shows a strategy to allow maintaining CD4 or T cell counts 500 cells/µL for 4 cycles in fewer period of years.",0.5023810863494873
"Leukotriene B4 (LTB4) is secreted by chemotactic neutrophils, forming a secondary gradient that amplifies the reach of the primary chemoattractant. This strategy increases the recruitment of neutrophil to other cells and is important for inflammation. Here, we show that LTB4 synthesizing enzymes localize to intracellular multivesicular bodies, and release the content of exosomes. Purified exosome release leads to loss of directional motility and concomitant loss of LTB 4 release. Our findings establish that the exosomal pool of L TB4 acts in an autocrine fashion to sensitize neutrophill to the primary and chemoassractant, and in a paracrine fashion to mediate recruitment of neighboring neutrophiles to trans. We envision a mechanism that signals foster communication between cells in harsh extracellular environments.",0.5023826956748962
"Ethylene is one of the most important hormones involved in plant developmental processes and stress responses. However, the regulation of ethylene signaling pathway is largely unknown. Here, we report that phosphorylation of cap binding protein 20 (CBP20) Ser245 is regulated by ethylene, and that this phosphorylation is involved in root growth. We found that the constitutive de-phosphorylation form of CBP20 is able to rescue the root ethylene responsive phenotype cbp20. Furthermore, we found that ethylene regulated gene expression of microRNA (miRNA) expression in roots shoots and shoots was specifically regulated by the roots ethylene treatment. We also found that miR319b is specifically regulated in roots after ethylene treated with ethylene. Our results suggest that ethyl regulated phosphorylated by CBp20 may be involved in the root growth pathway.",0.5023725628852844
"Acute kidney injury (AKI) is an adverse event that carries significant morbidity and mortality. Given interventions for AKI occurrence and poor performance, there is substantial interest in prediction of AKI prior to diagnosis. However, integration of real-time prognostic modeling with electronic health record (EHR) is challenging, and complex models increase risk of error and complicate deployment. The goal of this study was to create an implementable predictive model to accurately predict AKI in hospitalized patients easily integrated into the existing EHR system. We performed a retrospective analysis looking data from 169,859 hospitalized adults admitted to study hospitals in the United States (New Haven Bridgeport, Connecticut) between December 2012 and February 2016. We developed a model that accurately predicted AKI within 24 hours given observation. The model was trained in a discrete-time logistic regression subset of Hospital 1, internally validated the remainder of Hospital 2, and externally validated Hospital 3. Model performance was assessed using area receiver-operator characteristic (ROC) curve (AUC) data sets. The training set cohort contained 60,701 patients, internal validation set contained 30,599 patients, and external validation data sets contained 43,534 35,025 patients. Patients in the overall cohort were generally older (minor age ranging 61 to 68 hospitals) and black, and 23%–29% were admitted to surgical wards. In the training set and the external validation set, 19.1% and 18.9% of patients, respectively, developed AKI. Our model, including covariates, had good ability to predict imminent AKI and good discrimination.",0.5023775696754456
"The emergence of social behaviour is critical for the emergence of animal culture. Several processes are predicted to play key roles in how socially-transmitted information spreads across animal populations: movement of individuals across the landscape and conformist social learning. We develop a model that explicitly integrates these processes to investigate the impacts of the spread of behavioural preferences. Our results reveal a strong interplay between movement and social learning in determining how locally-variable traditions establish a landscape in which a single preference dominates the population. Our model is able to replicate a real-world cultural diffusion experiment in great tits and Parus major, and allows a range of predictions about the emergence and emergence of an animal culture under initial conditions, habitat structure and strength of conformist bias. Integrating social behaviour and ecological variation is important for understanding the stability and diversity of culture in animals.",0.5023835897445679
"The HIV-1 viral load set-point is a surrogate measure of viral virulence, which is subject to natural selection by the human host population. The key test hypothesis is that viral load sets-points are correlated with transmitting individuals acquiring infection. We retrospectively identified 112 heterosexual HIV- discordant couples enrolled in a cohort in Rakai, Uganda, and found that HIV transmission was suspected to occur in 57 couples. We also used sequence data available to establish transmission genetic linkage between 57 couples with strong genetic support for transmission. We estimated the proportion of variance between viral load and set-points explained by similarity between couples (‘couples effect’). Individuals suspected intra-pair transmission (97 couples) were similar to those suspected to transmit HIV. We found that the couple effect explained 16% of the variance in viral loads (23% adjusted). Our findings shed light on the role of viral factors in the pathogenesis and evolution of the virus.",0.5023611187934875
"Aflatoxins are produced by Aspergillus flavus and A. parasiticus in oil-rich seed grain crops. They are a carcinogenic natural compound known as aflatoxin B1. Sexual reproduction occurs between individuals belonging to different vegetative compatibility groups (VCGs). We examined natural genetic variation in 758 isolates of A. flavus, A. parasiteus and a. minisclerotigenes sampled from a single peanut field in the United States (Georgia), Africa (Benin), Argentina (Córdoba), Australia (Queensland), and India (Karnataka). We found that genetic recombination rates were significantly different between VCGs. We also found that the proportions of MAT1-1 and MAT-2 were highly variable in populations fixed to specific toxin chemotype classes, suggesting asexual sexual reproduction fixation and maintenance. We tested the null hypothesis that an equal number of mating-type individuals were associated with a sexually recombining population. Our results suggest that the reproductive nature of the population (sexual versus asexual) is predictive of aflatoxoxin chemotype diversity in agriculturally important fungi.",0.5023785829544067
"Prions, agents causing transmissible spongiform encephalopathies, colonize the brain through oral, parenteral, intralingual, and transdermal uptake. However, prions are generally considered airborne. Here, we report that inbred crossbred wild-type mice, tga20 transgenic mice, overexpressing PrPC, efficiently develop scrapie exposure from aerosolized prions. We show that the NSE-PrP transgenic mouse, which express PrPC selectively in neurons, is more susceptible to airborne prions than the uninfected mice. Aerogenic infection occurred in mice lacking B- T- lymphocytes, NK-cells, follicular dendritic cells, and complement components. Brains of diseased mice contained PrPSc transmitted to scrapie inoculated mice. We conclude that aerogenic exposure to prions is efficacious and can lead to direct invasion of neural pathways and the obligatory replicative phase of lymphoid organs. This previously unappreciated risk of airborne prion transmission warrant-thinking prion biosafety guidelines for research and diagnostic laboratories.",0.5023819208145142
