summary,coherence_score
"Henipaviruses are a family of paramyxoviridae that cause fatal disease in humans and mammals. Henipaviruses have been identified as a potential target for new anti-viral therapies. We performed genome-wide high-throughput screens to identify host-encoded microRNAs (s) impacting henipavirus infection in human cells. We found that members of the family-181-1793 families strongly promoted Hendra virus infection. Infection promotion primarily mediated by the ability-181 significantly enhances henipavirus-induced membrane fusion. We also identified novel negative regulators of henipavirus fusion, suggesting that simultaneous inhibition of Ephs contributes to enhanced infection fusion.",0.4888240098953247
"Aedes aegypti mosquitoes are vectors of a number of diseases, including dengue fever, malaria, chikungunya, yellow fever, and Zika virus. Aedes aegypti mosquitoes are the most common mosquito species in the world, and the most important vectors of dengue fever, malaria, chikungunya, and yellow fever. Aedes aegypti mosquitoes are currently being developed as genetically engineered underdominance killer-rescue gene drive systems. In this paper, we explore the effects of population genetics on the dynamics of the killer-rescue gene drive system. We show that the effects of population genetics on the dynamics of the killer-rescue gene drive system can be disentangled from the effects of ecological factors. Specifically, we show that the effects of population genetics on the dynamics of the killer-rescue gene drive system can be disentangled from the effects of ecological factors.",0.488750696182251
"Exogenous Interleukin-7 (IL-7) has been shown to increase CD4+ T cell subsets in HIV-1 infected patients. However, the mechanism of action of IL-7 is unknown. We performed a mathematical analysis of repeated measurements of total naive CD4+ T cells and Ki67 expression in HIV-1 infected patients involved in phase / II studies and found that IL-7 exerts additional effects play a significant role in CD4+ T cell dynamics 52 weeks after administration of IL-7. The effect of maintaining repeated administration of IL-7 was shown to allow maintaining CD4+ T cell counts 500 cells/L 4 cycles fewer period years.",0.488813579082489
"Leukotriene B4 (LTB4) is a chemoattractant secreted by neutrophils, a type of white blood cell that is involved in the immune response. LTB4 is a receptor-dependent chemotactic enzyme that mediates the recruitment of neutrophils to the periphery of the immune system. In this study, we show that LTB4 acts as an autocrine fashion to recruit neutrophils to the periphery of the immune system. In addition, we show that LTB4 is a receptor-dependent chemotactic enzyme that mediates the recruitment of neutrophils to the periphery of the immune system. Our findings establish that LTB4 acts as an autocrine fashion to recruit neutrophils to the periphery of the immune system. We envision that LTB4 acts as an autocrine fashion to recruit neutrophils to the periphery of the immune system.",0.48882532119750977
"Ethylene is a plant hormone that is important for plant growth and development. However, its regulation is largely unknown. In this study, we show that the cap binding protein 20 (CBP20) is involved in root growth and that CBP20 is able to rescue the root phenotype of ethylene responsive phenotypep20. We also show that CBP20 regulates the expression of the microRNA (miRNA) Col-0p20 in the root shoots of Arabidopsis thaliana. We show that the expression of the microRNA319b (319bOE) is regulated by CBP20 in the root shoots of Arabidopsis thaliana and that the expression of the microRNA MYB33 (mMYB33) is reduced by CBP20 in the root shoots of Arabidopsis thaliana. We show that the expression of the microRNA319b (319bOE) is regulated by CBP20 in the root shoots of Arabidopsis thaliana and that the expression of the microRNA MYB33 (mMYB33) is reduced by CBP20 in the root shoots of Arabidopsis thaliana. We propose that CBP20 regulates the expression of the microRNA319b (319bOE) in the root shoots of Arabidopsis thaliana and that the expression of the microRNA319b (319bOE) is regulated by CBP20 in the root shoots of Arabidopsis thaliana.",0.48878195881843567
"Acute kidney injury (AKI) is one of the leading causes of morbidity and mortality in the United States. AKI is a major cause of death in patients with chronic kidney disease and is a leading cause of death in patients with acute heart failure. In this study, we developed an implementable model to accurately predict AKI in patients with chronic kidney disease who were admitted to a hospital for observation. The model was trained on a subset of patients, internal validation set, and external validation set. We found that the model was able to predict AKI in patients with chronic kidney disease who were admitted to a hospital for observation. The model was able to predict AKI in patients with acute heart failure who were admitted to a hospital for observation. The model was able to predict AKI in patients with chronic kidney disease who were admitted to a hospital for observation. The model was able to predict AKI in patients with acute heart failure who were admitted to a hospital for observation.",0.48864784836769104
Social transmission of information is critical to the emergence of animal culture. The social transmission of information is predicted to play a key role in the emergence of animal culture. We develop a model that explicitly integrates processes to investigate impacts of social transmission on the spread of behavioural preferences. Our results reveal strong interplay between movement conformity determining locally-variable traditions establish landscape single preference dominates population. This results reveal strong interplay between movement conformity determining locally-variable traditions establish landscape single preference dominates population.,0.4886944890022278
"HIV-1 viral load set-point surrogate measure is a surrogate measure of HIV-1 viral virulence that is subject to natural selection in the human host population. We hypothesized that HIV-1 viral load set-point surrogate measure would be a surrogate measure of HIV-1 viral virulence, subject to natural selection in the human host population. We retrospectively identified 112 heterosexual HIV- discordant couples enrolled in a cohort of Rakai, Uganda, and HIV transmission suspected of viral load set-point established. We also used sequence data available to establish transmission genetic linkage between 57 couples. We found that individuals epidemiologically linked to couples genetic support transmission similar viral load set-point. We also found that individuals epidemiologically linked to couples genetic support transmission similar viral load set-point.",0.48881426453590393
"Aflatoxins produced by Aspergillus flavus and A. parasiticus oil-rich seed grain crops are known as aflatoxin B1 carcinogens. Sexual reproduction of these fungi occurs in individuals belonging to different vegetative compatibility groups (VCGs) and is indicative of sexually recombining populations. We examined the natural genetic variation of 758 isolates of A. flavus, A. parasiticus, and A. minisclerotigenes sampled in single peanut fields in the United States (Georgia), Africa ( Benin), Argentina, Crdoba, Australia, and Queensland, India (Karnataka). We found significant linkage disequilibrium (LD) organized distinct blocks in different localities, suggesting genetic recombination nonrandom global occurrence. We assessed the contributions of asexual sexual reproduction to maintenance of toxin chemotype diversity populations in the locality / species, and tested the null hypothesis equal number of MAT1- 1 MAT1- 2 mating-type individuals, indicative of sexually recombining population. We found significant linkage disequilibrium (LD) organized distinct blocks in different localities, suggesting genetic recombination nonrandom global occurrence. We assessed the contributions of asexual sexual reproduction to maintenance of toxin chemotype diversity populations in the locality / species, and tested the null hypothesis equal number of MAT1- 1 MAT1- 2 mating-type individuals, indicative of sexually recombining population.",0.488725870847702
"Prions are a group of infectious agents that cause transmissible spongiform encephalopathies. Prions can be transmitted from person to person via oral, parenteral, intralingual, transdermal, or transdermal uptake. Prions are generally considered airborne. In this study, we report inbred crossbred wild-type and transgenic mice overexpressing PrPC, an aerosolized form of the prion protein, that efficiently develops airborne prions. Our results suggest that airborne prions can be transmitted from person to person via oral, parenteral, intralingual, transdermal, or transdermal uptake. Previously unappreciated risk of airborne prion transmission warrant-thinking prion biosafety guidelines.",0.4887765645980835
